timestamp,sensor_id,value,unit
2025-06-03T16:46:47.331157,T-01,21.724391823190253,°C
2025-06-03T16:46:48.336233,AQ-02,460.7969948360525,AQI
2025-06-03T16:46:49.344538,H-03,3.657881558121623,%RH
2025-06-03T16:46:50.360301,P-04,938.7515736732907,hPa
2025-06-03T16:46:51.384113,T-01,-8.456143106776913,°C
2025-06-03T16:46:52.392496,AQ-02,81.37490964233629,AQI
2025-06-03T16:46:53.401082,H-03,93.86897264227589,%RH
2025-06-03T16:46:54.416161,P-04,1005.8203680382394,hPa
2025-06-03T16:46:55.424955,T-01,-18.135033984170665,°C
2025-06-03T16:46:56.451550,AQ-02,427.91920463859833,AQI
2025-06-03T16:48:55.681856,H-03,53.268187963895954,%RH
2025-06-03T16:48:59.235426,P-04,1021.1032284538769,hPa
2025-06-03T16:49:00.245175,T-01,33.78720820581585,°C
2025-06-03T16:49:01.271493,AQ-02,217.22392684328923,AQI
2025-06-03T16:49:02.279853,H-03,39.74228864731801,%RH
2025-06-03T16:49:03.297868,P-04,905.6191070761182,hPa
2025-06-03T16:49:04.312796,T-01,34.7202085108216,°C
